Time,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
12:57:55,-0.625,-0.3125,-0.3125,-0.48,0.09,9.4,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0298462,0.0371704
12:58:15,0.375,0,0.3125,-0.51,0.13,9.5,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0298462,0.0371704
12:58:35,0.625,-0.0625,0.5625,-0.62,0.22,9.56,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0298462,0.0371704
12:58:55,0.3125,-0.5,0.0625,-0.65,0.27,9.58,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0298462,0.0371704
12:59:15,-0.3125,-1.0625,-0.25,-0.55,0.22,9.55,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0297241,0.0371704
12:59:35,-0.375,-0.875,-0.1875,-0.49,0.15,9.5,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
12:59:55,-0.1875,-0.4375,0.125,-0.49,0.14,9.51,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
13:00:15,0.375,0,0.4375,-0.59,0.2,9.56,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
13:00:35,0.5,0.375,0.125,-0.61,0.24,9.6,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
13:00:55,-0.125,0.5625,-0.3125,-0.58,0.24,9.61,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
13:01:15,-0.5,0.6875,-0.0625,-0.56,0.15,9.55,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0297241,0.0371704
13:01:35,-0.375,0.6875,0,-0.59,0.12,9.51,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0297852,0.0371704
13:01:55,-0.125,0.875,0.125,-0.63,0.12,9.53,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0298462,0.0371704
13:02:15,0.25,0.75,-0.125,-0.61,0.17,9.5,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0299072,0.0371704
13:02:35,0.4375,-0.1875,0.0625,-0.61,0.25,9.56,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0299072,0.0371704
13:02:55,0.1875,-1.25,0.125,-0.58,0.26,9.6,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0297852,0.0371704
13:03:15,-0.25,-2,0.1875,-0.58,0.19,9.5,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296021,0.0371704
13:03:35,0,-1.9375,0,-0.54,0.15,9.58,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.02948,0.0371704
13:03:55,0.3125,-1.0625,-0.1875,-0.45,0.18,9.6,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.0293579,0.0371704
13:04:15,0.4375,0.125,0,-0.48,0.24,9.58,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.0293579,0.0371704
13:04:35,0.125,1.25,0.125,-0.55,0.26,9.63,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.02948,0.0371704
13:04:55,-0.5625,1.5,0,-0.62,0.27,9.61,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.0296021,0.0371704
13:05:15,-0.8125,1.5625,-0.1875,-0.59,0.11,9.5,-0.75,-3.4375,4.25,-0.99884,-0.0078125,-0.0297241,0.0371704
13:05:35,-0.4375,1.5625,-0.375,-0.57,0.11,9.45,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0299072,0.0371704
13:05:55,0,0.75,0,-0.6,0.16,9.46,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0299683,0.0371704
13:06:15,0.375,-0.1875,0.25,-0.67,0.24,9.56,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0299683,0.0371704
13:06:35,0.25,-1.125,0.125,-0.63,0.21,9.57,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0298462,0.0371704
